Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Enhancing movie recommendations using quantum support vector machine (QSVM),The Journal of Supercomputing,,,,10.1007/s11227-024-06501-2,Maida ShahidMuhammad Awais HassanFaiza IqbalAyesha AltafSayyed Wajihul Husnain ShahAna Visiers ElizaincinImran Ashraf,2024,https://link.springer.com/article/10.1007/s11227-024-06501-2,Article
Artificial Intelligence and the Security of Computing Systems,Guide to Computer Network Security,,,,10.1007/978-3-031-47549-8_17,Joseph Migga Kizza,2024,https://link.springer.com/chapter/10.1007/978-3-031-47549-8_17,Chapter
Fintech: Artificial Intelligence and Machine Learning Leverage,Financial Technology,,,,10.1007/978-981-96-3811-6_1,Jaber Jemai,2025,https://link.springer.com/chapter/10.1007/978-981-96-3811-6_1,Conference paper
The Second Search Futures Workshop at&#xa0;ECIR’25,Advances in Information Retrieval,,,,10.1007/978-3-031-88720-8_48,Charles ClarkePaul KantorAdam RoegiestIan SoboroffJohanne TrippasZhaochun Ren,2025,https://link.springer.com/chapter/10.1007/978-3-031-88720-8_48,Conference paper
Evaluating Intelligence and Knowledge in Large Language Models,Topoi,,,,10.1007/s11245-024-10072-5,Francesco Bianchini,2024,https://link.springer.com/article/10.1007/s11245-024-10072-5,Article
AI and Cryptocurrencies in Remittances,Redefining Cross-Border Financial Flows,,,,10.1007/979-8-8688-1064-0_7,Hari Prasad Josyula,2024,https://link.springer.com/chapter/10.1007/979-8-8688-1064-0_7,Chapter
The Current and Future Role of AI in Branding,In One Word,,,,10.1007/978-3-031-88202-9_17,Michael Behnke,2025,https://link.springer.com/chapter/10.1007/978-3-031-88202-9_17,Chapter
Improving operations through a lean AI paradigm: a view to an AI-aided lean manufacturing via versatile convolutional neural network,The International Journal of Advanced Manufacturing Technology,,,,10.1007/s00170-024-13874-4,Mohammad ShahinMazdak MaghanakiAli HosseinzadehF. Frank Chen,2024,https://link.springer.com/article/10.1007/s00170-024-13874-4,Article
Comparison Between the Performance of Human Translators and AI-Supported Applications,"Intelligent Systems, Blockchain, and Communication Technologies",,,,10.1007/978-3-031-82377-0_9,Anfal Sabeeh HamoodSanaa Lazim Hassan Al GhareebBilal Hameed Zaid,2025,https://link.springer.com/chapter/10.1007/978-3-031-82377-0_9,Conference paper
Artificial intelligence in the service of entrepreneurial finance: knowledge structure and the foundational algorithmic paradigm,Financial Innovation,,,,10.1186/s40854-025-00759-y,Robert KudelićTamara ŠmagucSherry Robinson,2025,https://link.springer.com/article/10.1186/s40854-025-00759-y,Article
Future Trends and Opportunities in Machine Learning and Artificial Intelligence for Banking and Finance,Applications of Block Chain technology and Artificial Intelligence,,,,10.1007/978-3-031-47324-1_13,Anand Kumar MishraAmit Kumar TyagiMicheal Olaolu Arowolo,2024,https://link.springer.com/chapter/10.1007/978-3-031-47324-1_13,Chapter
Enhancing Cybersecurity Defenses: A Comprehensive Exploration of Applied Artificial Intelligence Strategies,Emerging Trends and Technologies on Intelligent Systems,,,,10.1007/978-981-97-5703-9_4,Balaram Yadav KasulaPawan Whig,2025,https://link.springer.com/chapter/10.1007/978-981-97-5703-9_4,Conference paper
"Redefining Leadership in the Age of AI: Tools, Applications, and Limitations",Evolutionary Artificial Intelligence,,,,10.1007/978-981-99-8438-1_40,Mitra MadanchianMichele VincentiHamed Taherdoost,2024,https://link.springer.com/chapter/10.1007/978-981-99-8438-1_40,Conference paper
Key Trends in AI,Grow Your Business with AI,,,,10.1007/978-1-4842-9669-1_6,Francisco Javier Campos Zabala,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9669-1_6,Chapter
Databases and&#xa0;Information Systems: Contributions from&#xa0;ADBIS 2023 Workshops and&#xa0;Doctoral Consortium,New Trends in Database and Information Systems,,,,10.1007/978-3-031-42941-5_26,Adam PrzybyłekAleksandra KarpusAllel HadjaliAnton DignösCarmem S. HaraDanae Pla KaridiEster ZumpanoFabio PersiaGenoveva Vargas-SolarGeorge PapastefanatosGiancarlo SperlìGiorgos GiannopoulosIvan LukovićJulien AligonManolis TerrovitisMarek GrzegorowskiMariella BonomoMirian Halfeld FerrariNicolas LabrochePaul MonsarratRichard ChbeirSana SellamiSeshu TirupathiSimona E. RomboSlavica KordićSonja RistićTommaso Di NoiaTorben Bach PedersenVincenzo Moscato,2023,https://link.springer.com/chapter/10.1007/978-3-031-42941-5_26,Conference paper
A comprehensive review of model compression techniques in machine learning,Applied Intelligence,,,,10.1007/s10489-024-05747-w,Pierre Vilar DantasWaldir Sabino da Silva JrLucas Carvalho CordeiroCelso Barbosa Carvalho,2024,https://link.springer.com/article/10.1007/s10489-024-05747-w,Article
Research in Translation Studies,Multidisciplinary Insights into Translation Studies,,,,10.1007/978-3-031-87205-1_5,Jozef Štefčík,2025,https://link.springer.com/chapter/10.1007/978-3-031-87205-1_5,Chapter
Machine and Deep Learning Applications,Machine and Deep Learning Algorithms and Applications,,,,10.1007/978-3-031-03758-0_6,Uday Shankar ShanthamalluAndreas Spanias,2022,https://link.springer.com/chapter/10.1007/978-3-031-03758-0_6,Chapter
Large Language Models (LLMs),Architecting Enterprise AI Applications,,,,10.1007/979-8-8688-0902-6_6,Anton CagleAhmed Ceifelnasr Ahmed,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0902-6_6,Chapter
Shaping Industry 4.0 and 5.0 Landscapes by Navigating Technological Shifts with Soft Computing Expertise,Soft Computing in Industry 5.0 for Sustainability,,,,10.1007/978-3-031-69336-6_1,Mariam FatimaReddy C. Kishor KumarR. AartiS. Md. Shakir Ali,2024,https://link.springer.com/chapter/10.1007/978-3-031-69336-6_1,Chapter
AI-Powered Predictive Analytics in Decision-Making in Smart Cities,Blockchain and Machine Learning Innovations,,,,10.1007/978-3-031-88095-7_7,Varsha BhatiaSunita Kumawat,2025,https://link.springer.com/chapter/10.1007/978-3-031-88095-7_7,Chapter
"Strategic Research, Innovation and Implementation Agenda for Digital Language Equality in Europe by 2030",European Language Equality,,,,10.1007/978-3-031-28819-7_45,Georg RehmAndy Way,2023,https://link.springer.com/chapter/10.1007/978-3-031-28819-7_45,Chapter
ChatGPT in Finance and Banking,Beyond AI,,,,10.1007/978-3-031-45282-6_7,Ken HuangXi ChenYouwei YangJyoti PonnapalliGrace Huang,2023,https://link.springer.com/chapter/10.1007/978-3-031-45282-6_7,Chapter
Integrating sustainability into cybersecurity: insights from machine learning based topic modeling,Discover Sustainability,,,,10.1007/s43621-024-00754-w,Krishnashree AchuthanSriram SankaranSwapnoneel RoyRaghu Raman,2025,https://link.springer.com/article/10.1007/s43621-024-00754-w,Article
Application of large language models to quantum state simulation,"Science China Physics, Mechanics & Astronomy",,,,10.1007/s11433-024-2598-y,Shuangxiang ZhouRonghang ChenZheng AnChao ZhangShi-Yao Hou,2025,https://link.springer.com/article/10.1007/s11433-024-2598-y,Article
Quantum deep neural networks for  time series analysis,Quantum Information Processing,,,,10.1007/s11128-024-04404-y,Anupama PadhaAnita Sahoo,2024,https://link.springer.com/article/10.1007/s11128-024-04404-y,Article
A Quantum LSTM-based approach to cyber threat detection in virtual environment,The Journal of Supercomputing,,,,10.1007/s11227-024-06615-7,Sarvapriya TripathiHimanshu UpadhyayJayesh Soni,2024,https://link.springer.com/article/10.1007/s11227-024-06615-7,Article
Revolutionizing finance with conversational AI: a focus on ChatGPT implementation and challenges,Humanities and Social Sciences Communications,,,,10.1057/s41599-025-04725-y,Zhisheng Chen,2025,https://link.springer.com/article/10.1057/s41599-025-04725-y,Article
Sanitization of septic news sentences through hybrid approach in English,Language Resources and Evaluation,,,,10.1007/s10579-024-09778-0,Soma DasSanjay Chatterji,2024,https://link.springer.com/article/10.1007/s10579-024-09778-0,Article
Quantum-inspired framework for big data analytics: evaluating the impact of movie trailers and its financial returns,Journal of Big Data,,,,10.1186/s40537-025-01069-x,Jaiteg SinghKamalpreet Singh BhanguFarman AliAhmad Ali AlZubiBabar Shah,2025,https://link.springer.com/article/10.1186/s40537-025-01069-x,Article
NooJ for Artificial Intelligence: An Anthropic Approach,Formalising Natural Languages: Applications to Natural Language Processing and Digital Humanities,,,,10.1007/978-3-030-70629-6_15,Mario Monteleone,2021,https://link.springer.com/chapter/10.1007/978-3-030-70629-6_15,Conference paper
"The Transformative Impact of AI Technologies on Decision-Making Processes and Operational Efficiency Across Sectors, with a Focus on Finance",Generative AI in FinTech: Revolutionizing Finance Through Intelligent Algorithms,,,,10.1007/978-3-031-76957-3_5,Naman ChauhanGesu ThakurAnkush JoshiVikash KumarAnuj KumarYashvir Singh,2025,https://link.springer.com/chapter/10.1007/978-3-031-76957-3_5,Chapter
Enhancing Markowitz's portfolio selection paradigm with machine learning,Annals of Operations Research,,,,10.1007/s10479-024-06257-1,Marcos López de PradoJoseph SimonianFrancesco A. FabozziFrank J. Fabozzi,2024,https://link.springer.com/article/10.1007/s10479-024-06257-1,Article
Quantum-Enhanced Secure Multi-party Computation for&#xa0;Cyber Security Applications,Intelligent Computing and Big Data Analytics,,,,10.1007/978-3-031-74682-6_9,Abhay KumarNiladri Sekhar DeyB. ChennakeshwarC. Anuvamshitha,2024,https://link.springer.com/chapter/10.1007/978-3-031-74682-6_9,Conference paper
Artificial Intelligence as Key Enabler for Safeguarding the Marine Resources,Artificial Intelligence and Edge Computing for Sustainable Ocean Health,,,,10.1007/978-3-031-64642-3_18,Mehtab AlamIhtiram Raza KhanFarheen SiddiquiM. Afshar Alam,2024,https://link.springer.com/chapter/10.1007/978-3-031-64642-3_18,Chapter
"A Comprehensive Analysis of Quaternion Deep Neural Networks: Architectures, Applications, Challenges, and Future Scope",Archives of Computational Methods in Engineering,,,,10.1007/s11831-024-10216-1,Sukhendra SinghSushil KumarB. K. Tripathi,2024,https://link.springer.com/article/10.1007/s11831-024-10216-1,Article
Advances of machine learning in materials science: Ideas and techniques,Frontiers of Physics,,,,10.1007/s11467-023-1325-z,Sue Sin ChongYi Sheng NgHui-Qiong WangJin-Cheng Zheng,2023,https://link.springer.com/article/10.1007/s11467-023-1325-z,Article
Unlocking financial innovation through strategic investments in information management: a systematic review,Discover Sustainability,,,,10.1007/s43621-024-00542-6,Askar GaradHosam Alden RiyadhAbdullah M. Al-AnsiBaligh Ali Hasan Beshr,2024,https://link.springer.com/article/10.1007/s43621-024-00542-6,Article
Regulation of Tech Forces-Technological Backlash: The Luddite Perspective,"Innovation, Sustainability, and Technological Megatrends in the Face of Uncertainties",,,,10.1007/978-3-031-46189-7_12,Larry Earnhart,2024,https://link.springer.com/chapter/10.1007/978-3-031-46189-7_12,Chapter
A General Introduction to Artificial Intelligence,Artificial Intelligence Technology,,,,10.1007/978-981-19-2879-6_1,,2023,https://link.springer.com/chapter/10.1007/978-981-19-2879-6_1,Chapter
Enhanced quantum long short-term memory by using bidirectional ring variational quantum circuit,The Journal of Supercomputing,,,,10.1007/s11227-024-06636-2,Han QiXinyue LvChangqing GongAbdullah Gani,2024,https://link.springer.com/article/10.1007/s11227-024-06636-2,Article
Transcription and optimization of an interplanetary trajectory through quantum annealing,Astrodynamics,,,,10.1007/s42064-024-0216-6,Federico De GrossiAndrea CarboneDario SpillerDaniele OttavianiRiccardo MengoniChristian Circi,2025,https://link.springer.com/article/10.1007/s42064-024-0216-6,Article
Artificial intelligence tool development: what clinicians need to know?,BMC Medicine,,,,10.1186/s12916-025-04076-0,Boon-How ChewKee Yuan Ngiam,2025,https://link.springer.com/article/10.1186/s12916-025-04076-0,Article
Proceedings of International Conference on Computational Intelligence,Algorithms for Intelligent Systems,,,,9789819645381,Mukesh SaraswatRitu TiwariMario PavoneMukesh Zaveri,2025,https://link.springer.com/book/9789819645381,Conference proceedings
The Technology of Intelligence,Intelligence Studies in Business,,,,10.1007/978-3-031-76491-2_8,Klaus Solberg Söilen,2024,https://link.springer.com/chapter/10.1007/978-3-031-76491-2_8,Chapter
Interfacing Multi-modal AI with IoT: Unlocking New Frontiers,Multimodal Generative AI,,,,10.1007/978-981-96-2355-6_14,S. Delsi RobinshaB. Amutha,2025,https://link.springer.com/chapter/10.1007/978-981-96-2355-6_14,Chapter
Topic mining and forecasting on patent map for GPU technology,The Journal of Supercomputing,,,,10.1007/s11227-025-07215-9,Ke HouMengying WuWenjun WuLinhao Huang,2025,https://link.springer.com/article/10.1007/s11227-025-07215-9,Article
Web Intelligence (WI) 3.0: in search of a better-connected world to create a future intelligent society,Artificial Intelligence Review,,,,10.1007/s10462-025-11203-z,Hongzhi KuaiJimmy X. HuangXiaohui TaoGabriella PasiYiyu YaoJiming LiuNing Zhong,2025,https://link.springer.com/article/10.1007/s10462-025-11203-z,Article
Proceedings of International Conference on Computational Intelligence,Algorithms for Intelligent Systems,,,,10.1007/978-981-97-3526-6,Ritu TiwariMukesh SaraswatMario Pavone,2024,https://link.springer.com/book/10.1007/978-981-97-3526-6,Conference proceedings
Language Industry,Multidisciplinary Insights into Translation Studies,,,,10.1007/978-3-031-87205-1_3,Jozef Štefčík,2025,https://link.springer.com/chapter/10.1007/978-3-031-87205-1_3,Chapter
Artificial Intelligence and Cognitive Information Systems: Revolutionizing Business with Generative Artificial Intelligence and Robotic Process Automation,Proceedings of International Conference on Recent Innovations in Computing,,,,10.1007/978-981-97-3442-9_4,Attila Márton PutnokiTamás Orosz,2024,https://link.springer.com/chapter/10.1007/978-981-97-3442-9_4,Conference paper
Categorizing 4.0 Technologies within the Context of Education 4.0,Proceedings of TEEM 2023,,,,10.1007/978-981-97-1814-6_36,Jhonattan MirandaMa. Soledad Ramírez-MontoyaArturo Molina,2024,https://link.springer.com/chapter/10.1007/978-981-97-1814-6_36,Conference paper
"Overview of ChatGPT, Web3, and New Business Landscape",Beyond AI,,,,10.1007/978-3-031-45282-6_1,Ken HuangAnita Xie,2023,https://link.springer.com/chapter/10.1007/978-3-031-45282-6_1,Chapter
"Collaborative Defense Strategies: AI, ML, and Cybersecurity: A Comprehensive Study",Innovations in Information and Decision Sciences,,,,10.1007/978-981-96-0147-9_38,Samarjeet BorahDharmesh DhabliyaPrashant DhageJyoti ShuklaSumit Kumar RaiSaurabh Bhattacharya,2025,https://link.springer.com/chapter/10.1007/978-981-96-0147-9_38,Conference paper
Enhancing sparse data recommendations with self-inspected adaptive SMOTE and hybrid neural networks,Scientific Reports,,,,10.1038/s41598-025-02593-9,Ramesh VatambetiHari Prasad GandikotaD. SiriG. SatyanarayanaNarasimhula BalayesuM. Ganesh KarthikKoteswararao Ch,2025,https://link.springer.com/article/10.1038/s41598-025-02593-9,Article
The Evolution of Soft Computing: Industry 5.0 and Its Challenges,Soft Computing in Industry 5.0 for Sustainability,,,,10.1007/978-3-031-69336-6_3,Siramdas Sai JaahnaviR. AartiReddy C. Kishor KumarKari Lippert,2024,https://link.springer.com/chapter/10.1007/978-3-031-69336-6_3,Chapter
FinTech: a literature review of emerging financial technologies and applications,Financial Innovation,,,,10.1186/s40854-024-00668-6,Gang KouYang Lu,2025,https://link.springer.com/article/10.1186/s40854-024-00668-6,Article
Change management: artificial intelligence (AI) at the service of public administrations,AI & SOCIETY,,,,10.1007/s00146-024-02136-2,Ieva Mainardi,2024,https://link.springer.com/article/10.1007/s00146-024-02136-2,Article
Artificial Intelligence: An Introduction,Artificial Intelligence for Industries of the Future,,,,10.1007/978-3-031-19039-1_1,Mayank Kejriwal,2023,https://link.springer.com/chapter/10.1007/978-3-031-19039-1_1,Chapter
Bridging Vision and Technology: The Future of AI in Assisting the Visually Impaired,Revolutionizing Healthcare 5.0: The Power of Generative AI,,,,10.1007/978-3-031-75771-6_25,Abhishek M. NairJettin Daisy JoyS. NavaneethPriya PhilipS. N. KumarVinu SankarDennis Thomas,2024,https://link.springer.com/chapter/10.1007/978-3-031-75771-6_25,Chapter
Language models for quantum simulation,Nature Computational Science,,,,10.1038/s43588-023-00578-0,Roger G. MelkoJuan Carrasquilla,2024,https://link.springer.com/article/10.1038/s43588-023-00578-0,Article
A biological sequence comparison algorithm using quantum computers,Scientific Reports,,,,10.1038/s41598-023-41086-5,Büsra Kösoglu-KindRobert LoredoMichele GrossiChristian BerneckerJody M. BurksRüdiger Buchkremer,2023,https://link.springer.com/article/10.1038/s41598-023-41086-5,Article
The Role of Artificial Intelligence in the Modern Approach to Neuromarketing,Multidisciplinary Approaches to Contemporary Marketing,,,,10.1007/978-3-031-78026-4_2,Ivana RadojevićMilica SlijepčevićNevenka Popović Šević,2025,https://link.springer.com/chapter/10.1007/978-3-031-78026-4_2,Chapter
Transforming the Future: A Look at the Latest Breakthrough Technologies,Curious Future Insight,,,,10.1007/978-3-031-41781-8_8,Thomas Herget,2024,https://link.springer.com/chapter/10.1007/978-3-031-41781-8_8,Chapter
Application of social media communication for museum based on the deep mediatization and artificial intelligence,Scientific Reports,,,,10.1038/s41598-024-80378-2,Hongkai WangChao SongHongming Li,2024,https://link.springer.com/article/10.1038/s41598-024-80378-2,Article
Survey on AI-Generated Plagiarism Detection: The Impact of Large Language Models on Academic Integrity,Journal of Academic Ethics,,,,10.1007/s10805-024-09576-x,Shushanta PudasainiLuis Miralles-PechuánDavid LillisMarisa Llorens Salvador,2024,https://link.springer.com/article/10.1007/s10805-024-09576-x,Article
Future Research Directions,Internet of Things: A Case Study in Africa,,,,10.1007/978-3-031-67984-1_12,Fadele Ayotunde Alaba,2024,https://link.springer.com/chapter/10.1007/978-3-031-67984-1_12,Chapter
Artificial intelligence (AI) -integrated educational applications and college students’ creativity and academic emotions: students and teachers’ perceptions and attitudes,BMC Psychology,,,,10.1186/s40359-024-01979-0,Haozhuo LinQiu Chen,2024,https://link.springer.com/article/10.1186/s40359-024-01979-0,Article
A quantum search decoder for natural language processing,Quantum Machine Intelligence,,,,10.1007/s42484-021-00041-1,Johannes BauschSathyawageeswar SubramanianStephen Piddock,2021,https://link.springer.com/article/10.1007/s42484-021-00041-1,Article
What Could Possibly Go Wrong?,The Executive Guide to Artificial Intelligence,,,,10.1007/978-3-031-50722-9_8,Andrew Burgess,2024,https://link.springer.com/chapter/10.1007/978-3-031-50722-9_8,Chapter
AI evaluation of ChatGPT and human generated image/textual contents by bipolar generalized fuzzy hypergraph,Artificial Intelligence Review,,,,10.1007/s10462-024-11015-7,Abbas AminiNarjes FirouzkouhiWael FaragOmar AliIsam ZabalawiBijan Davvaz,2025,https://link.springer.com/article/10.1007/s10462-024-11015-7,Article
Reconcile Using Generative AI,Regenerating Learning,,,,10.1007/979-8-8688-1061-9_11,Patrick Parra Pennefather,2024,https://link.springer.com/chapter/10.1007/979-8-8688-1061-9_11,Chapter
Navigating the&#xa0;Knowledge Network: How Inter-Domain Information Pairing and&#xa0;Generative AI Can Enable Rapid Problem-Solving,Towards AI-Aided Invention and Innovation,,,,10.1007/978-3-031-42532-5_11,Nicolas DouardAhmed SametGeorge GiakosDenis Cavallucci,2023,https://link.springer.com/chapter/10.1007/978-3-031-42532-5_11,Conference paper
"Real-World Applications of Data Analytics, Big Data, and Machine Learning",Data Analytics and Machine Learning,,,,10.1007/978-981-97-0448-4_12,Prince Shiva ChaudharyMohit R. KhuranaMukund Ayalasomayajula,2024,https://link.springer.com/chapter/10.1007/978-981-97-0448-4_12,Chapter
"Explainable Machine Learning (XML) for Multimedia-Based Healthcare Systems: Opportunities, Challenges, Ethical and Future Prospects",Explainable Machine Learning for Multimedia Based Healthcare Applications,,,,10.1007/978-3-031-38036-5_2,Joseph Bamidele AwotundeAgbotiname Lucky ImoizeAbidemi Emmanuel AdeniyiKazeem Moses AbiodunEmmanuel Femi AyoK. V. N. KavithaGbemisola Janet AjamuRoseline Oluwaseun Ogundokun,2023,https://link.springer.com/chapter/10.1007/978-3-031-38036-5_2,Chapter
Critical analysis of the impact of artificial intelligence integration with cutting-edge technologies for production systems,Journal of Intelligent Manufacturing,,,,10.1007/s10845-023-02244-8,Vincenzo VarrialeAntonello CammaranoFrancesca MichelinoMauro Caputo,2023,https://link.springer.com/article/10.1007/s10845-023-02244-8,Article
Recent Advances and&#xa0;Future Perspectives,Deep Learning Through the Prism of Tensors,,,,10.1007/978-981-97-8019-8_11,Pradeep SinghBalasubramanian Raman,2024,https://link.springer.com/chapter/10.1007/978-981-97-8019-8_11,Chapter
AI-Enabled 3D Integration,AI-Enabled Electronic Circuit and System Design,,,,10.1007/978-3-031-71436-8_8,Vandana KumariManoj Kumar Majumder,2025,https://link.springer.com/chapter/10.1007/978-3-031-71436-8_8,Chapter
"Sentiment analysis in textual, visual and multimodal inputs using recurrent neural networks",Multimedia Tools and Applications,,,,10.1007/s11042-020-10037-x,Jitendra V. TembhurneTausif Diwan,2020,https://link.springer.com/article/10.1007/s11042-020-10037-x,Article
Thriving in Uncertainty: Effective Financial Analytics in the Age of VUCA,Recent Advancements in Computational Finance and Business Analytics,,,,10.1007/978-3-031-38074-7_54,Itishree BeheraPragyan NandaManisha BeheraTanushree Bhoi,2023,https://link.springer.com/chapter/10.1007/978-3-031-38074-7_54,Conference paper
Significant Developments in AI,Road to a More Intelligent World,,,,10.1007/978-981-96-5129-0_6,Pengfei Sun,2025,https://link.springer.com/chapter/10.1007/978-981-96-5129-0_6,Chapter
An Overview of AI Workload Optimization Techniques,Boosting Software Development Using Machine Learning,,,,10.1007/978-3-031-88188-6_12,Ravi PanchumarthyTirimula Rao Benala,2025,https://link.springer.com/chapter/10.1007/978-3-031-88188-6_12,Chapter
Impacts of Modern AI and ML Trends,The Cloud Leader’s Handbook,,,,10.1007/978-1-4842-9526-7_9,Ron C. L’Esteve,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9526-7_9,Chapter
RETRACTED ARTICLE: Multilingual hate speech detection sentimental analysis on social media platforms using optimal feature extraction and hybrid diagonal gated recurrent neural network,The Journal of Supercomputing,,,,10.1007/s11227-023-05361-6,Purbani KarSwapan Debbarma,2023,https://link.springer.com/article/10.1007/s11227-023-05361-6,Article
Using Fintech in Sovereign Wealth Fund Operations,The Palgrave Handbook of Sovereign Wealth Funds,,,,10.1007/978-3-031-50821-9_18,Hugo BenedettiFrancisco Pavlic,2024,https://link.springer.com/chapter/10.1007/978-3-031-50821-9_18,Chapter
AI Agents and Business Workflow,Agentic AI,,,,10.1007/978-3-031-90026-6_5,Ken Huang,2025,https://link.springer.com/chapter/10.1007/978-3-031-90026-6_5,Chapter
Tomorrow’s Advancing Technologies,Neo Strategic Management,,,,10.1007/978-3-031-37208-7_3,M. S. S. El Namaki,2023,https://link.springer.com/chapter/10.1007/978-3-031-37208-7_3,Chapter
Information Technology,Financial System 2030,,,,10.1007/978-3-031-55700-2_2,Thomas PuschmannH. S. H. Prince Michael of Liechtenstein,2024,https://link.springer.com/chapter/10.1007/978-3-031-55700-2_2,Chapter
KetGPT – Dataset Augmentation of&#xa0;Quantum Circuits Using Transformers,Computational Science – ICCS 2024,,,,10.1007/978-3-031-63778-0_17,Boran ApakMedina BandicAritra SarkarSebastian Feld,2024,https://link.springer.com/chapter/10.1007/978-3-031-63778-0_17,Conference paper
Quantum-inspired neural networks for time-series air pollution prediction and control of the most polluted region in the world,Quantum Machine Intelligence,,,,10.1007/s42484-024-00232-6,Naushad AhmadShubham Jas,2025,https://link.springer.com/article/10.1007/s42484-024-00232-6,Article
Quantum Annealing for Real-World Machine Learning Applications,Quantum Computing,,,,10.1007/978-3-031-37966-6_9,Rajdeep Kumar NathHimanshu ThapliyalTravis S. Humble,2024,https://link.springer.com/chapter/10.1007/978-3-031-37966-6_9,Chapter
Conclusions,Grow Your Business with AI,,,,10.1007/978-1-4842-9669-1_24,Francisco Javier Campos Zabala,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9669-1_24,Chapter
R&amp;D Tools and Technologies,Innovation Through Research and Development,,,,10.1007/978-3-031-52565-0_13,Hamed Taherdoost,2024,https://link.springer.com/chapter/10.1007/978-3-031-52565-0_13,Chapter
"Business chatbots with deep learning technologies: state-of-the-art, taxonomies, and future research directions",Artificial Intelligence Review,,,,10.1007/s10462-024-10744-z,Yongxiang ZhangRaymond Y. K. LauJingjun David XuYanghui RaoYuefeng Li,2024,https://link.springer.com/article/10.1007/s10462-024-10744-z,Article
Improving Access Trust in Healthcare Through Multimodal Deep Learning for Affective Computing,Human-Centric Intelligent Systems,,,,10.1007/s44230-024-00080-4,I. SakthideviG. Fathima,2024,https://link.springer.com/article/10.1007/s44230-024-00080-4,Article
A Computational Protocol for the Knowledge-Based Assessment and Capture of Pathologies,Psychoneuroimmunology,,,,10.1007/978-1-0716-4200-9_14,Jeffrey PageNadia MooreGordon Broderick,2025,https://link.springer.com/chapter/10.1007/978-1-0716-4200-9_14,Protocol
Leveraging AI for enhanced cybersecurity: a comprehensive review,Discover Applied Sciences,,,,10.1007/s42452-025-06773-0,Thammisetty SwethaU. KumaranV. P. MeenaIbrahim A. Hameed,2025,https://link.springer.com/article/10.1007/s42452-025-06773-0,Article
Modern Data Warehouses,Architecting a Modern Data Warehouse for Large Enterprises,,,,10.1007/979-8-8688-0029-0_2,Anjani KumarAbhishek MishraSanjeev Kumar,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0029-0_2,Chapter
Deep Learning in Politics,"Artificial Intelligence, Game Theory and Mechanism Design in Politics",,,,10.1007/978-981-99-5103-1_6,Tshilidzi Marwala,2023,https://link.springer.com/chapter/10.1007/978-981-99-5103-1_6,Chapter
Machine Learning for Precision Medicine and Humanized AI for Future Healthcare,Biostatistics in Biopharmaceutical Research and Development,,,,10.1007/978-3-031-65937-9_8,Mark Chang,2024,https://link.springer.com/chapter/10.1007/978-3-031-65937-9_8,Chapter
"Exploring the Intersection of AI, Healthcare, and Environmental Sustainability: Future Trends and Challenges",Transforming Healthcare Sector Through Artificial Intelligence and Environmental Sustainability,,,,10.1007/978-981-97-9555-0_2,A. Arun KumarRakesh SuryadevaraT. SowmyyaGowri B. Chanal,2024,https://link.springer.com/chapter/10.1007/978-981-97-9555-0_2,Chapter
Integrating LoRa Technology and&#xa0;Artificial Intelligence for&#xa0;Enhanced Environmental Monitoring and&#xa0;Climate Resilience,Internet of Vehicles and Computer Vision Solutions for Smart City Transformations,,,,10.1007/978-3-031-72959-1_14,Shaista TarannumS. M. UshaFathimuz Zohra,2025,https://link.springer.com/chapter/10.1007/978-3-031-72959-1_14,Chapter
Artificial Intelligence and NDE Competencies,Handbook of Nondestructive Evaluation 4.0,,,,10.1007/978-3-030-48200-8_24-2,Ramon S. FernandezKimberley HayesKatie CarpenterFrancisco Gayosso,2025,https://link.springer.com/rwe/10.1007/978-3-030-48200-8_24-2,Living reference work entry
Proceedings of International Conference on Computational Intelligence,Algorithms for Intelligent Systems,,,,10.1007/978-981-99-2854-5,Ritu TiwariMario F. PavoneMukesh Saraswat,2023,https://link.springer.com/book/10.1007/978-981-99-2854-5,Conference proceedings
Hardware Accelerators for Artificial Intelligence,AI-Enabled Electronic Circuit and System Design,,,,10.1007/978-3-031-71436-8_14,S. M. Mojahidul AhsanTamzidul HoqueMd Sakib HasanMrittika ChowdhuryAnurag Dhungel,2025,https://link.springer.com/chapter/10.1007/978-3-031-71436-8_14,Chapter
"Accelerating materials discovery using artificial intelligence, high performance computing and robotics",npj Computational Materials,,,,10.1038/s41524-022-00765-z,Edward O. Pyzer-KnappJed W. PiteraPeter W. J. StaarSeiji TakedaTeodoro LainoDaniel P. SandersJames SextonJohn R. SmithAlessandro Curioni,2022,https://link.springer.com/article/10.1038/s41524-022-00765-z,Article
Quantum AI powered dynamic user profiling for next-generation personalized recommender system,Quantum Machine Intelligence,,,,10.1007/s42484-025-00270-8,Varun MalikS. B. Goyal,2025,https://link.springer.com/article/10.1007/s42484-025-00270-8,Article
